,510020.SH,510150.SH,510190.SH,510130.SH,510050.SH,510060.SH,510110.SH,510170.SH,510180.SH,510880.SH,510010.SH,510090.SH,510030.SH,510070.SH,510160.SH
2015-06-08,1.36362612613,1.65503875969,1.68295148248,1.61924193675,1.30600010705,1.39665501747,1.19932432432,1.52397984068,1.42211824255,1.53112300525,1.38885707273,1.3776936695,1.32983358332,1.73065256281,1.58483242517
2015-06-09,1.36891891892,1.65503875969,1.67713948787,1.61822176881,1.28954129422,1.38001331336,1.18709459459,1.54674036742,1.40978782261,1.53374962831,1.36791295099,1.36163848361,1.31269195057,1.72995255503,1.56587295663
2015-06-10,1.35945945946,1.69127456283,1.68236185984,1.62661853567,1.27423326018,1.35205525046,1.17574324324,1.54413916436,1.40184220594,1.52923976608,1.35425018408,1.35870825957,1.29926433826,1.75997511083,1.54004627902
2015-06-11,1.3509009009,1.70488552371,1.67975067385,1.63093463078,1.2661778087,1.33749375936,1.16864864865,1.55324337506,1.39851681822,1.52963623749,1.34696882926,1.35754837922,1.29097921577,1.77133079256,1.52855116817
2015-06-12,1.35011261261,1.73490174869,1.69558625337,1.6449815585,1.26770325965,1.33982359794,1.17331081081,1.5652739392,1.40504988082,1.56586381207,1.35065041316,1.36261522496,1.29833583315,1.77996422182,1.53526909009
2015-06-15,1.32207207207,1.7061474671,1.66391509434,1.61845719218,1.234785634,1.30720585788,1.14506756757,1.53357177695,1.37412083223,1.56056100704,1.3187433527,1.32336243209,1.26948075137,1.73127479194,1.50884526387
2015-06-16,1.27882882883,1.66125833784,1.61969339623,1.56517303618,1.20566825456,1.2615243801,1.12831081081,1.4765078849,1.33536387982,1.49940529289,1.27775505195,1.2830108052,1.23912577673,1.69129656996,1.44495036202
2015-06-17,1.28986486486,1.67847485127,1.63872978437,1.59342384054,1.21755071455,1.28790148111,1.13641891892,1.53097057389,1.35375651099,1.53602933888,1.29869917369,1.30309504914,1.25719591458,1.7059967333,1.4802567739
2015-06-18,1.24087837838,1.62258878673,1.57774595687,1.53660833399,1.16354439865,1.23048760193,1.08817567568,1.47813363681,1.29769577117,1.50203191595,1.24404810603,1.2460167267,1.20634240411,1.6346737186,1.42457266552
2015-06-19,1.17454954955,1.51865873445,1.47641509434,1.43537628502,1.10263341005,1.16433682809,1.02986486486,1.36872053325,1.22074100232,1.40048567747,1.1712345578,1.16799951163,1.13763302621,1.53861709575,1.32425169814
2015-06-23,1.20292792793,1.54570037858,1.5028638814,1.46849250569,1.14208103624,1.20802130138,1.06567567568,1.39343196228,1.25876224949,1.41485776588,1.20674138918,1.20395580245,1.1782729805,1.56265069612,1.36343957602
2015-06-24,1.22398648649,1.57778979629,1.54059973046,1.50670956604,1.1581651769,1.22965551672,1.08162162162,1.45130873029,1.28312880727,1.45752800079,1.23128528185,1.22727550211,1.20462824084,1.58800653341,1.41322684183
2015-06-25,1.17646396396,1.50793221561,1.48121630728,1.45334693557,1.11949365734,1.19495756365,1.04885135135,1.39440741343,1.23863335393,1.40504509862,1.19127873681,1.18185702949,1.16770230698,1.51528350315,1.36627603195
2015-06-26,1.08716216216,1.38976023076,1.36177560647,1.33406576159,1.04059840497,1.11324679647,0.976959459459,1.28190538124,1.14431594126,1.29784914263,1.1020207805,1.0954154203,1.09413613313,1.39394882165,1.25386280511
2015-06-29,1.05585585586,1.33234180638,1.30761455526,1.27772110178,1.01723491945,1.08736894658,0.961756756757,1.23947325638,1.10867837909,1.2642481911,1.07011372004,1.06934863561,1.08927933719,1.34261491794,1.22564753303
2015-06-30,1.12804054054,1.41590048675,1.39277291105,1.35344895237,1.0903762779,1.15901148278,1.02932432432,1.28840838888,1.18330831935,1.33595995639,1.14390902397,1.14522922898,1.15970287837,1.43400482228,1.3062625961
2015-07-01,1.07162162162,1.35974400577,1.32437668464,1.27983991211,1.03982229835,1.10009985022,0.982094594595,1.20630791741,1.12339248404,1.25364258103,1.08377648695,1.09028752823,1.10756374545,1.37730419227,1.23236545495
2015-07-02,1.05675675676,1.29853975122,1.26625673854,1.20207172565,1.0313921747,1.07779996672,0.974527027027,1.12762152496,1.0890497631,1.19892952721,1.05555101039,1.05829924913,1.09049353618,1.32262580695,1.16824662238
2015-07-03,1.00844594595,1.23526230395,1.20005053908,1.12626540061,0.98506663812,1.01938758529,0.930878378378,1.04194439928,1.02998734587,1.11700862325,1.00179988546,1.00787497711,1.03592600529,1.26063622929,1.08994551019
2015-07-06,1.07342342342,1.25752659095,1.23947102426,1.12712861963,1.04902852861,1.07147611915,0.992432432432,1.04291985043,1.07251110915,1.15135295867,1.0491695983,1.05781087846,1.10049282194,1.28599206658,1.12540120923
2015-07-07,1.09358108108,1.19010275825,1.21394878706,1.07925920113,1.07429213724,1.09302712598,1.02033783784,0.994472443505,1.07183426032,1.13400733472,1.0528511822,1.07227885965,1.14548960789,1.25729174769,1.1138314548
2015-07-08,1.01925675676,1.12114656571,1.14555256065,1.00431609511,0.997698442434,1.01772341488,0.942567567568,0.920338156397,0.994850063271,1.06492219249,0.9772559928,0.995055246932,1.06356688808,1.1926576962,1.02828991565
2015-07-09,1.09966216216,1.1956913647,1.2130222372,1.06678176254,1.06243643954,1.08245964387,0.998648648649,0.985855958381,1.060151261,1.13777381306,1.04368812894,1.06299981686,1.12591957717,1.23800264447,1.112562514
2015-07-10,1.15619369369,1.27239949522,1.27686994609,1.1356823354,1.1080126318,1.13554667998,1.03527027027,1.0525117867,1.11500544422,1.20343938943,1.0983391966,1.11250839387,1.16677380187,1.27463638485,1.19944763753
2015-07-13,1.15011261261,1.33297277808,1.31696428571,1.20536765283,1.09690627843,1.13662839075,1.02168918919,1.11851731426,1.13242694447,1.24159976212,1.11110202078,1.12337464135,1.1589172202,1.32534805942,1.24087482272
2015-07-14,1.0990990991,1.31782945736,1.29497978437,1.19587224358,1.05668254563,1.09752038609,0.987567567568,1.09835799057,1.10264559607,1.21781147785,1.07379530394,1.08900555522,1.11884865367,1.33328148091,1.18384712995
