,000032.SH,000033.SH,000034.SH,000035.SH,000036.SH,000037.SH,000038.SH,000039.SH,000040.SH,000041.SH,H00032.SH,H00033.SH,H00034.SH,H00035.SH,H00036.SH,H00037.SH,H00038.SH,H00039.SH,H00040.SH,H00041.SH
2009/3/9,1881.74,1663.03,1796.27,1438.63,2887.99,2047.41,2599.3,1523.56,1669.33,1705.61,0,0,0,0,0,0,0,0,0,0
2009/3/10,1827.64,1580.67,1728.56,1369.22,2789.54,1974.96,2507.36,1452.63,1596.86,1652.81,0,0,0,0,0,0,0,0,0,0
2009/3/11,1883.09,1603.73,1774.71,1401.37,2838.54,2015.86,2546.69,1490.3,1625.77,1671.65,0,0,0,0,0,0,0,0,0,0
2009/3/12,1863.54,1600.13,1760.54,1382.43,2831.94,2020.93,2519.63,1477.58,1617.5,1663.96,0,0,0,0,0,0,0,0,0,0
2009/3/13,1843.23,1597.16,1756.87,1380.26,2791.28,2022.83,2515.93,1485.78,1620.64,1669.72,0,0,0,0,0,0,0,0,0,0
2009/3/16,1840.76,1589.6,1748.89,1369.99,2765.45,2000.66,2512.48,1478.95,1621.84,1659.45,0,0,0,0,0,0,0,0,0,0
2009/3/17,1848.92,1624.82,1763.16,1396.68,2781.27,2012.05,2576.29,1490.83,1651.03,1659.38,0,0,0,0,0,0,0,0,0,0
2009/3/18,1922.86,1693.66,1817.91,1445.43,2862.58,2074.35,2657.77,1546.06,1691.93,1706.57,0,0,0,0,0,0,0,0,0,0
2009/3/19,1952.08,1721.87,1833.31,1456.77,2876.38,2092.92,2641.44,1565.6,1696.96,1715.57,0,0,0,0,0,0,0,0,0,0
2009/3/20,2044.72,1764.71,1880.56,1492.25,2970.02,2111.76,2683.7,1599.38,1718.54,1738.03,0,0,0,0,0,0,0,0,0,0
2009/3/23,2096.67,1819.37,1868.28,1490.0,2953.66,2079.46,2641.35,1587.23,1736.75,1729.32,0,0,0,0,0,0,0,0,0,0
2009/3/24,2123.5,1871.25,1925.36,1529.01,3022.86,2101.14,2718.0,1612.28,1747.64,1748.77,0,0,0,0,0,0,0,0,0,0
2009/3/25,2131.01,1859.44,1935.61,1536.4,3034.96,2134.65,2736.69,1630.23,1769.68,1780.73,0,0,0,0,0,0,0,0,0,0
2009/3/26,2090.41,1818.86,1881.66,1496.36,2930.11,2070.43,2706.7,1589.45,1715.58,1724.36,0,0,0,0,0,0,0,0,0,0
2009/3/27,2147.57,1889.87,1967.24,1538.19,2971.54,2089.42,2814.66,1627.91,1759.03,1769.98,0,0,0,0,0,0,0,0,0,0
2009/3/30,2145.29,1909.01,2010.04,1560.22,2976.74,2088.03,2821.08,1682.58,1789.59,1806.34,0,0,0,0,0,0,0,0,0,0
2009/3/31,2110.01,1876.26,2006.12,1556.45,2988.47,2103.85,2807.68,1680.65,1812.18,1842.59,0,0,0,0,0,0,0,0,0,0
2009/4/1,2118.31,1872.13,2027.04,1579.19,2996.2,2113.82,2849.9,1714.0,1838.43,1855.83,0,0,0,0,0,0,0,0,0,0
2009/4/2,2208.41,1924.45,2063.86,1608.32,3045.45,2131.29,2865.09,1736.6,1834.68,1864.9,0,0,0,0,0,0,0,0,0,0
2009/4/3,2231.12,1947.06,2075.05,1606.99,3062.03,2138.4,2915.79,1729.53,1817.38,1861.92,0,0,0,0,0,0,0,0,0,0
2009/4/7,2222.23,1916.92,2038.48,1581.42,3045.27,2110.5,2971.16,1713.52,1794.99,1821.33,0,0,0,0,0,0,0,0,0,0
2009/4/8,2288.32,1912.19,2049.46,1600.83,3067.64,2125.39,2955.91,1728.47,1825.39,1837.11,0,0,0,0,0,0,0,0,0,0
2009/4/9,2213.59,1825.17,1994.8,1541.94,2972.86,2066.97,2820.47,1676.18,1761.12,1758.67,0,0,0,0,0,0,0,0,0,0
2009/4/10,2219.23,1846.78,2023.33,1573.32,3027.19,2080.99,2883.19,1706.06,1769.41,1777.28,0,0,0,0,0,0,0,0,0,0
2009/4/13,2324.2,1920.53,2090.88,1617.05,3102.63,2126.69,2958.71,1782.72,1798.77,1822.67,0,0,0,0,0,0,0,0,0,0
2009/4/14,2483.71,1983.21,2154.83,1655.46,3143.85,2136.96,2994.54,1794.83,1837.59,1853.99,0,0,0,0,0,0,0,0,0,0
2009/4/15,2470.4,1979.52,2161.11,1684.64,3170.64,2148.61,3018.72,1829.77,1855.11,1878.01,0,0,0,0,0,0,0,0,0,0
2009/4/16,2517.13,1999.45,2158.9,1712.16,3205.58,2183.43,2998.84,1917.54,1914.92,1902.34,0,0,0,0,0,0,0,0,0,0
2009/4/17,2464.51,2035.17,2170.66,1705.24,3227.49,2215.45,3001.28,1882.45,1895.19,1886.41,0,0,0,0,0,0,0,0,0,0
2009/4/20,2387.97,1971.06,2142.25,1718.4,3274.47,2203.82,2976.7,1835.91,1860.52,1864.77,0,0,0,0,0,0,0,0,0,0
2009/4/21,2458.61,2005.92,2191.45,1775.96,3352.41,2234.83,3028.05,1903.04,1900.88,1921.31,0,0,0,0,0,0,0,0,0,0
